,GitHub Name,Smogon Name,PMD Reference,,Pts.,Spr.,D.Spr.,Pokémon,Types,,HP,Atk,Def,SpA,SpD,Spe,0,252,252+,,Sprite
,joltik,joltik,596,,1,,,Joltik (Z),Bug,Electric,50,47,50,57,50,65,166,229,251,,
,galvantula,galvantula,597,,3,,,Galvantula (Z),Bug,Electric,70,77,60,97,60,108,252,315,346,,
,ferroseed,ferroseed,598,,1,,,Ferroseed (Z),Grass,Steel,44,50,91,24,86,10,56,119,130,,
,ferrothorn,ferrothorn,599,,12,,,Ferrothorn (Z),Grass,Steel,74,94,131,54,116,20,76,139,152,,
,klink,klink,600,,1,,,Klink (Z),Steel,-,40,55,70,45,60,30,96,159,174,,
,klang,klang,601,,1,,,Klang (Z),Steel,-,60,80,95,70,85,50,136,199,218,,
,klinklang,klinklang,602,,1,,,Klinklang (Z),Steel,-,60,100,115,70,85,90,216,279,306,,
,tynamo,tynamo,603,,1,,,Tynamo (Z),Electric,-,35,55,40,45,40,60,156,219,240,,
,eelektrik,eelektrik,604,,1,,,Eelektrik (Z),Electric,-,65,85,70,75,70,40,116,179,196,,
,eelektross,eelektross,605,,6,,,Eelektross (Z),Electric,-,85,115,80,105,80,50,136,199,218,,
,elgyem,elgyem,606,,1,,,Elgyem (Z),Psychic,-,55,55,55,85,55,30,96,159,174,,
,beheeyem,beheeyem,607,,1,,,Beheeyem (Z),Psychic,-,75,75,75,125,95,40,116,179,196,,
,litwick,litwick,608,,1,,,Litwick (Z),Ghost,Fire,50,30,55,65,55,20,76,139,152,,
,lampent,lampent,609,,1,,,Lampent (Z),Ghost,Fire,60,40,60,95,60,55,146,209,229,,
,chandelure,chandelure,610,,5,,,Chandelure (Z),Ghost,Fire,60,55,90,145,90,80,196,259,284,,
,axew,axew,611,,1,,,Axew (Z),Dragon,-,46,87,60,30,40,57,150,213,234,,
,fraxure,fraxure,612,,1,,,Fraxure (Z),Dragon,-,66,117,70,40,50,67,170,233,256,,
,haxorus,haxorus,613,,10,,,Haxorus (Z),Dragon,-,76,147,90,60,70,97,230,293,322,,
,cubchoo,cubchoo,614,,1,,,Cubchoo (Z),Ice,-,55,70,40,60,40,40,116,179,196,,
,beartic,beartic,615,,1,,,Beartic (Z),Ice,-,95,130,80,70,80,50,136,199,218,,
,cryogonal,cryogonal,616,,2,,,Cryogonal (Z),Ice,-,80,50,50,95,135,105,246,309,339,,
,shelmet,shelmet,617,,1,,,Shelmet (Z),Bug,-,50,40,85,40,65,25,86,149,163,,
,accelgor,accelgor,618,,4,,,Accelgor (Z),Bug,-,80,70,40,100,60,145,326,389,427,,
,stunfisk,stunfisk,0618/0001,,7,,,Stunfisk (Z),Ground,Electric,109,66,84,81,99,32,100,163,179,,
,stunfisk-galar,stunfisk-galar,619,,0,,,Galarian Stunfisk (Z),Ground,Steel,109,81,99,66,84,32,100,163,179,,
,mienfoo,mienfoo,620,,1,,,Mienfoo (Z),Fighting,-,45,85,50,55,50,65,166,229,251,,
,mienshao,mienshao,621,,11,,,Mienshao (Z),Fighting,-,65,125,60,95,60,105,246,309,339,,
,druddigon,druddigon,622,,4,,,Druddigon (Z),Dragon,-,77,120,90,60,90,48,132,195,214,,
,golett,golett,623,,1,,,Golett (Z),Ground,Ghost,59,74,50,35,50,35,106,169,185,,
,golurk,golurk,624,,3,,,Golurk (Z),Ground,Ghost,89,124,80,55,80,55,146,209,229,,
,pawniard,pawniard,625,,1,,,Pawniard (Z),Dark,Steel,45,85,70,40,40,60,156,219,240,,
,bisharp,bisharp,626,,6,,,Bisharp (Z),Dark,Steel,65,125,100,60,70,70,176,239,262,,
,bouffalant,bouffalant,627,,4,,,Bouffalant (Z),Normal,-,95,110,95,40,95,55,146,209,229,,
,rufflet,rufflet,628,,1,,,Rufflet (Z),Normal,Flying,70,83,50,37,50,60,156,219,240,,
,braviary,braviary,0628/0001,,3,,,Braviary (Z),Normal,Flying,100,123,75,57,75,80,196,259,284,,
,braviary-hisui,braviary-hisui,629,,0,,,Hisuian Braviary (Z),Psychic,Flying,110,83,70,112,70,65,166,229,251,,
,vullaby,vullaby,630,,1,,,Vullaby (Z),Dark,Flying,70,55,75,45,65,60,156,219,240,,
,mandibuzz,mandibuzz,631,,11,,,Mandibuzz (Z),Dark,Flying,110,65,105,55,95,80,196,259,284,,
,heatmor,heatmor,632,,1,,,Heatmor (Z),Fire,-,85,97,66,105,66,65,166,229,251,,
,durant,durant,633,,3,,,Durant (Z),Bug,Steel,58,109,112,48,48,109,254,317,348,,
,deino,deino,634,,1,,,Deino (Z),Dark,Dragon,52,65,50,45,50,38,112,175,192,,
,zweilous,zweilous,635,,1,,,Zweilous (Z),Dark,Dragon,72,85,70,65,70,58,152,215,236,,
,hydreigon,hydreigon,636,,14,,,Hydreigon (Z),Dark,Dragon,92,105,90,125,90,98,232,295,324,,
,larvesta,larvesta,637,,1,,,Larvesta (Z),Bug,Fire,55,85,55,50,55,60,156,219,240,,
,volcarona,volcarona,638,,15,,,Volcarona (Z),Bug,Fire,85,60,65,135,105,100,236,299,328,,
,cobalion,cobalion,639,,9,,,Cobalion (Z),Steel,Fighting,91,90,129,90,72,108,252,315,346,,
,terrakion,terrakion,640,,14,,,Terrakion (Z),Rock,Fighting,91,129,90,72,90,108,252,315,346,,
,virizion,virizion,641,,2,,,Virizion (Z),Grass,Fighting,91,90,72,90,129,108,252,315,346,,
,tornadus,tornadus,0641/0001,,10,,,Tornadus-Incarnate (Z),Flying,-,79,115,70,125,80,111,258,321,353,,
,tornadus-therian,tornadus-therian,642,,17,,,Tornadus-Therian (Z),Flying,-,79,100,80,110,90,121,278,341,375,,
,thundurus,thundurus,0642/0001,,15,,,Thundurus-Incarnate (Z),Electric,Flying,79,115,70,125,80,111,258,321,353,,
,thundurus-therian,thundurus-therian,643,,15,,,Thundurus-Therian (Z),Electric,Flying,79,105,70,145,80,101,238,301,331,,
,reshiram,reshiram,644,,99,,,Reshiram (Z),Dragon,Fire,100,120,100,150,120,90,216,279,306,,
,zekrom,zekrom,645,,99,,,Zekrom (Z),Dragon,Electric,100,150,120,120,100,90,216,279,306,,
,landorus,landorus,0645/0001,,16,,,Landorus-Incarnate (Z),Ground,Flying,89,125,90,115,80,101,238,301,331,,
,landorus-therian,landorus-therian,646,,19,,,Landorus-Therian (Z),Ground,Flying,89,145,90,105,80,91,218,281,309,,
,kyurem,kyurem,0646/0001,,15,,,Kyurem (Z),Dragon,Ice,125,130,90,130,90,95,226,289,317,,
,kyurem-black,kyurem-black,0646/0002,,18,,,Kyurem-Black (Z),Dragon,Ice,125,170,100,120,90,95,226,289,317,,
,kyurem-white,kyurem-white,647,,99,,,Kyurem-White (Z),Dragon,Ice,125,120,90,170,100,95,226,289,317,,
,keldeo,keldeo,0647/0001,,13,,,Keldeo (Z),Water,Fighting,91,72,90,129,90,108,252,315,346,,
,keldeo-resolute,keldeo-resolute,648,,0,,,- (Z),Water,Fighting,91,72,90,129,90,108,252,315,346,,
,meloetta,meloetta,0648/0001,,6,,,Meloetta (Z),Normal,Psychic,100,77,77,128,128,90,216,279,306,,
,meloetta-pirouette,meloetta-pirouette,649,,0,,,- (Z),Normal,Fighting,100,128,90,77,77,128,292,355,390,,
,genesect,genesect,0649/0001,,99,,,Genesect (Z),Bug,Steel,71,120,95,120,95,99,234,297,326,,
,genesect-douse,genesect-douse,0649/0002,,0,,,- (Z),Bug,Steel,71,120,95,120,95,99,234,297,326,,
,genesect-shock,genesect-shock,0649/0003,,0,,,- (Z),Bug,Steel,71,120,95,120,95,99,234,297,326,,
,genesect-burn,genesect-burn,0649/0004,,0,,,- (Z),Bug,Steel,71,120,95,120,95,99,234,297,326,,
,genesect-chill,genesect-chill,650,,0,,,- (Z),Bug,Steel,71,120,95,120,95,99,234,297,326,,
,chespin,chespin,651,,1,,,Chespin (Z),Grass,-,56,61,65,48,45,38,112,175,192,,
,quilladin,quilladin,652,,4,,,Quilladin (Z),Grass,-,61,78,95,56,58,57,150,213,234,,
,chesnaught,chesnaught,653,,5,,,Chesnaught (Z),Grass,Fighting,88,107,122,74,75,64,164,227,249,,
,fennekin,fennekin,654,,1,,,Fennekin (Z),Fire,-,40,45,40,62,60,60,156,219,240,,
,braixen,braixen,655,,1,,,Braixen (Z),Fire,-,59,59,58,90,70,73,182,245,269,,
,delphox,delphox,656,,3,,,Delphox (Z),Fire,Psychic,75,69,72,114,100,104,244,307,337,,
,froakie,froakie,657,,1,,,Froakie (Z),Water,-,41,56,40,62,44,71,178,241,265,,
,frogadier,frogadier,658,,1,,,Frogadier (Z),Water,-,54,63,52,83,56,97,230,293,322,,
,greninja,greninja,0658/0001,,16,,,Greninja (Z),Water,Dark,72,95,67,103,71,122,280,343,377,,
,greninja-ash,greninja-ash,659,,0,,,- (Z),Water,Dark,72,145,67,153,71,132,300,363,399,,
,bunnelby,bunnelby,660,,1,,,Bunnelby (Z),Normal,-,38,36,38,32,36,57,150,213,234,,
,diggersby,diggersby,661,,8,,,Diggersby (Z),Normal,Ground,85,56,77,50,77,78,192,255,280,,
,fletchling,fletchling,662,,1,,,Fletchling (Z),Normal,Flying,45,50,43,40,38,62,160,223,245,,
,fletchinder,fletchinder,663,,1,,,Fletchinder (Z),Fire,Flying,62,73,55,56,52,84,204,267,293,,
,talonflame,talonflame,664,,9,,,Talonflame (Z),Fire,Flying,78,81,71,74,69,126,288,351,386,,
,scatterbug,scatterbug,665,,1,,,Scatterbug (Z),Bug,-,38,35,40,27,25,35,106,169,185,,
,spewpa,spewpa,666,,1,,,Spewpa (Z),Bug,-,45,22,60,27,30,29,94,157,172,,
,vivillon,vivillon,0666/0001,,1,,,Vivillon (Z),Bug,Flying,80,52,50,90,50,89,214,277,304,,
,vivillon-fancy,vivillon-fancy,0666/0019,,0,,,- (Z),Bug,Flying,80,52,50,90,50,89,214,277,304,,
,vivillon-poke-ball,vivillon-pokeball,667,,0,,,- (Z),Bug,Flying,80,52,50,90,50,89,214,277,304,,
,litleo,litleo,668,,1,,,Litleo (Z),Fire,Normal,62,50,58,73,54,72,180,243,267,,
,pyroar,pyroar,669,,1,,,Pyroar (Z),Fire,Normal,86,68,72,109,66,106,248,311,342,,
,flabebe,flabebe,670,,1,,,Flabébé (Z),Fairy,-,44,38,39,61,79,42,120,183,201,,
,floette,floette,0670/0001,,1,,,Floette (Z),Fairy,-,54,45,47,75,98,52,140,203,223,,
,floette-eternal,floette-eternal,671,,99,,,Floette-Eternal (Z),Fairy,-,74,65,67,125,128,92,220,283,311,,
,florges,florges,672,,9,,,Florges (Z),Fairy,-,78,65,68,112,154,75,186,249,273,,
,skiddo,skiddo,673,,1,,,Skiddo (Z),Grass,-,66,65,48,62,57,52,140,203,223,,
,gogoat,gogoat,674,,1,,,Gogoat (Z),Grass,-,123,100,62,97,81,68,172,235,258,,
,pancham,pancham,675,,1,,,Pancham (Z),Fighting,-,67,82,62,46,48,43,122,185,203,,
,pangoro,pangoro,676,,5,,,Pangoro (Z),Fighting,Dark,95,124,78,69,71,58,152,215,236,,
,furfrou,furfrou,677,,1,,,Furfrou (Z),Normal,-,75,80,60,65,90,102,240,303,333,,
,espurr,espurr,678,,1,,,Espurr (Z),Psychic,-,62,48,54,63,60,68,172,235,258,,
,meowstic,meowstic,0678/0001,,0,,,- (Z),Psychic,-,74,48,76,83,81,104,244,307,337,,
,meowstic-f,meowstic-f,679,,1,,,Meowstic (Z),Psychic,-,74,48,76,83,81,104,244,307,337,,
,honedge,honedge,680,,1,,,Honedge (Z),Steel,Ghost,45,80,100,35,37,28,92,155,170,,
,doublade,doublade,681,,1,,,Doublade (Z),Steel,Ghost,59,110,150,45,49,35,106,169,185,,
,aegislash,aegislash,0681/0001,,99,,,Aegislash (Z),Steel,Ghost,60,50,140,50,140,60,156,219,240,,
,aegislash-blade,aegislash-blade,682,,0,,,- (Z),Steel,Ghost,60,140,50,140,50,60,156,219,240,,
,spritzee,spritzee,683,,1,,,Spritzee (Z),Fairy,-,78,52,60,63,65,23,82,145,159,,
,aromatisse,aromatisse,684,,2,,,Aromatisse (Z),Fairy,-,101,72,72,99,89,29,94,157,172,,
,swirlix,swirlix,685,,1,,,Swirlix (Z),Fairy,-,62,48,66,59,57,49,134,197,216,,
,slurpuff,slurpuff,686,,5,,,Slurpuff (Z),Fairy,-,82,80,86,85,75,72,180,243,267,,
,inkay,inkay,687,,1,,,Inkay (Z),Dark,Psychic,53,54,53,37,46,45,126,189,207,,
,malamar,malamar,688,,1,,,Malamar (Z),Dark,Psychic,86,92,88,68,75,73,182,245,269,,
,binacle,binacle,689,,1,,,Binacle (Z),Rock,Water,42,52,67,39,56,50,136,199,218,,
,barbaracle,barbaracle,690,,3,,,Barbaracle (Z),Rock,Water,72,105,115,54,86,68,172,235,258,,
,skrelp,skrelp,691,,1,,,Skrelp (Z),Poison,Water,50,60,60,60,60,30,96,159,174,,
,dragalge,dragalge,692,,7,,,Dragalge (Z),Poison,Dragon,65,75,90,97,123,44,124,187,205,,
,clauncher,clauncher,693,,1,,,Clauncher (Z),Water,-,50,53,62,58,63,44,124,187,205,,
,clawitzer,clawitzer,694,,2,,,Clawitzer (Z),Water,-,71,73,88,120,89,59,154,217,238,,
,helioptile,helioptile,695,,1,,,Helioptile (Z),Electric,Normal,44,38,33,61,43,70,176,239,262,,
,heliolisk,heliolisk,696,,4,,,Heliolisk (Z),Electric,Normal,62,55,52,109,94,109,254,317,348,,
,tyrunt,tyrunt,697,,1,,,Tyrunt (Z),Rock,Dragon,58,89,77,45,45,48,132,195,214,,
,tyrantrum,tyrantrum,698,,4,,,Tyrantrum (Z),Rock,Dragon,82,121,119,69,59,71,178,241,265,,
,amaura,amaura,699,,1,,,Amaura (Z),Rock,Ice,77,59,50,67,63,46,128,191,210,,
,aurorus,aurorus,700,,1,,,Aurorus (Z),Rock,Ice,123,77,72,99,92,58,152,215,236,,
,sylveon,sylveon,701,,12,,,Sylveon (Z),Fairy,-,95,65,65,110,130,60,156,219,240,,
,hawlucha,hawlucha,702,,14,,,Hawlucha (Z),Fighting,Flying,78,92,75,74,63,118,272,335,368,,
,dedenne,dedenne,703,,1,,,Dedenne (Z),Electric,Fairy,67,58,57,81,67,101,238,301,331,,
,carbink,carbink,704,,1,,,Carbink (Z),Rock,Fairy,50,50,150,50,150,50,136,199,218,,
,goomy,goomy,705,,1,,,Goomy (Z),Dragon,-,45,50,35,55,75,40,116,179,196,,
,sliggoo,sliggoo,0705/0001,,1,,,Sliggoo (Z),Dragon,-,68,75,53,83,113,60,156,219,240,,
,sliggoo-hisui,sliggoo-hisui,706,,0,,,Hisuian Sliggoo (Z),Steel,Dragon,58,75,83,83,113,40,116,179,196,,
,goodra,goodra,0706/0001,,11,,,Goodra (Z),Dragon,-,90,100,70,110,150,80,196,259,284,,
,goodra-hisui,goodra-hisui,707,,0,,,Hisuian Goodra (Z),Steel,Dragon,80,100,100,110,150,60,156,219,240,,
,klefki,klefki,708,,11,,,Klefki (Z),Steel,Fairy,57,80,91,80,87,75,186,249,273,,
,phantump,phantump,709,,1,,,Phantump (Z),Ghost,Grass,43,70,48,50,60,38,112,175,192,,
,trevenant,trevenant,710,,2,,,Trevenant (Z),Ghost,Grass,85,110,76,65,82,56,148,211,232,,
,pumpkaboo,pumpkaboo,710,,1,,,Pumpkaboo (Z),Ghost,Grass,49,66,70,44,55,51,138,201,221,,
,pumpkaboo-small,pumpkaboo-small,710,,0,,,- (Z),Ghost,Grass,44,66,70,44,55,56,148,211,232,,
,pumpkaboo-large,pumpkaboo-large,710,,0,,,- (Z),Ghost,Grass,54,66,70,44,55,46,128,191,210,,
,pumpkaboo-super,pumpkaboo-super,711,,0,,,- (Z),Ghost,Grass,59,66,70,44,55,41,118,181,199,,
,gourgeist,gourgeist,711,,5,,,Gourgeist (Z),Ghost,Grass,65,90,122,58,75,84,204,267,293,,
,gourgeist-small,gourgeist-small,711,,0,,,- (Z),Ghost,Grass,55,85,122,58,75,99,234,297,326,,
,gourgeist-large,gourgeist-large,711,,0,,,- (Z),Ghost,Grass,75,95,122,58,75,69,174,237,260,,
,gourgeist-super,gourgeist-super,712,,0,,,- (Z),Ghost,Grass,85,100,122,58,75,54,144,207,227,,
,bergmite,bergmite,713,,1,,,Bergmite (Z),Ice,-,55,69,85,32,35,28,92,155,170,,
,avalugg,avalugg,0713/0001,,1,,,Avalugg (Z),Ice,-,95,117,184,44,46,28,92,155,170,,
,avalugg-hisui,avalugg-hisui,714,,0,,,Hisuian Avalugg (Z),Ice,Rock,95,127,184,34,36,38,112,175,192,,
,noibat,noibat,715,,1,,,Noibat (Z),Flying,Dragon,40,30,35,45,40,55,146,209,229,,
,noivern,noivern,716,,5,,,Noivern (Z),Flying,Dragon,85,70,80,97,80,123,282,345,379,,
,xerneas,xerneas,717,,99,,,Xerneas (Z),Fairy,-,126,131,95,131,98,99,234,297,326,,
,yveltal,yveltal,718,,99,,,Yveltal (Z),Dark,Flying,126,131,95,131,98,99,234,297,326,,
,zygarde,zygarde,0718/0002,,18,,,Zygarde-50% (Z),Dragon,Ground,108,100,121,81,95,95,226,289,317,,
,zygarde-10,zygarde-10,0718/0001,,6,,,Zygarde-10% (Z),Dragon,Ground,54,100,71,61,85,115,266,329,361,,
,zygarde-complete,zygarde-complete,719,,99,,,Zygarde-Complete (Z),Dragon,Ground,216,100,121,91,95,85,206,269,295,,
,diancie,diancie,0719/0001,,9,,,Diancie (Z),Rock,Fairy,50,100,150,100,150,50,136,199,218,,
,diancie-mega,diancie-mega,720,,17,,,Mega Diancie (Z),Rock,Fairy,50,160,110,160,110,110,256,319,350,,
,hoopa,hoopa,0720/0001,,2,,,Hoopa (Z),Psychic,Ghost,80,110,60,150,130,70,176,239,262,,
,hoopa-unbound,hoopa-unbound,721,,16,,,Hoopa-Unbound (Z),Psychic,Dark,80,160,60,170,130,80,196,259,284,,
,volcanion,volcanion,722,,15,,,Volcanion (Z),Fire,Water,80,110,120,130,90,70,176,239,262,,
,rowlet,rowlet,723,,1,,,Rowlet (Z),Grass,Flying,68,55,55,50,50,42,120,183,201,,
,dartrix,dartrix,724,,1,,,Dartrix (Z),Grass,Flying,78,75,75,70,70,52,140,203,223,,
,decidueye,decidueye,0724/0001,,9,,,Decidueye (Z),Grass,Ghost,78,107,75,100,100,70,176,239,262,,
,decidueye-hisui,decidueye-hisui,725,,0,,,Hisuian Decidueye (Z),Grass,Fighting,88,112,80,95,95,60,156,219,240,,
,litten,litten,726,,1,,,Litten (Z),Fire,-,45,65,40,60,40,70,176,239,262,,
,torracat,torracat,727,,1,,,Torracat (Z),Fire,-,65,85,50,80,50,90,216,279,306,,
,incineroar,incineroar,728,,11,,,Incineroar (Z),Fire,Dark,95,115,90,80,90,60,156,219,240,,
,popplio,popplio,729,,1,,,Popplio (Z),Water,-,50,54,54,66,56,40,116,179,196,,
,brionne,brionne,730,,1,,,Brionne (Z),Water,-,60,69,69,91,81,50,136,199,218,,
,primarina,primarina,731,,10,,,Primarina (Z),Water,Fairy,80,74,74,126,116,60,156,219,240,,
,pikipek,pikipek,732,,1,,,Pikipek (Z),Normal,Flying,35,75,30,30,30,65,166,229,251,,
,trumbeak,trumbeak,733,,1,,,Trumbeak (Z),Normal,Flying,55,85,50,40,50,75,186,249,273,,
,toucannon,toucannon,734,,1,,,Toucannon (Z),Normal,Flying,80,120,75,75,75,60,156,219,240,,
,yungoos,yungoos,735,,1,,,Yungoos (Z),Normal,-,48,70,30,30,30,45,126,189,207,,
,gumshoos,gumshoos,736,,1,,,Gumshoos (Z),Normal,-,88,110,60,55,60,45,126,189,207,,
,grubbin,grubbin,737,,1,,,Grubbin (Z),Bug,-,47,62,45,55,45,46,128,191,210,,
,charjabug,charjabug,738,,1,,,Charjabug (Z),Bug,Electric,57,82,95,55,75,36,108,171,188,,
,vikavolt,vikavolt,739,,3,,,Vikavolt (Z),Bug,Electric,77,70,90,145,75,43,122,185,203,,
,crabrawler,crabrawler,740,,1,,,Crabrawler (Z),Fighting,-,47,82,57,42,47,63,162,225,247,,
,crabominable,crabominable,741,,1,,,Crabominable (Z),Fighting,Ice,97,132,77,62,67,43,122,185,203,,
,oricorio,oricorio,0741/0001,,2,,,Oricorio-Baile (Z),Fire,Flying,75,70,70,98,70,93,222,285,313,,
,oricorio-pom-pom,oricorio-pompom,0741/0002,,0,,,Oricorio-Pompom (Z),Electric,Flying,75,70,70,98,70,93,222,285,313,,
,oricorio-pau,oricorio-pau,0741/0003,,0,,,Oricorio-Pau (Z),Psychic,Flying,75,70,70,98,70,93,222,285,313,,
,oricorio-sensu,oricorio-sensu,742,,0,,,Oricorio-Sensu (Z),Ghost,Flying,75,70,70,98,70,93,222,285,313,,
,cutiefly,cutiefly,743,,1,,,Cutiefly (Z),Bug,Fairy,40,45,40,55,40,84,204,267,293,,
,ribombee,ribombee,744,,6,,,Ribombee (Z),Bug,Fairy,60,55,60,95,70,124,284,347,381,,
,rockruff,rockruff,745,,1,,,Rockruff (Z),Rock,-,45,65,40,30,40,60,156,219,240,,
,lycanroc,lycanroc,0745/0001,,4,,,Lycanroc-Midday (Z),Rock,-,75,115,65,55,65,112,260,323,355,,
,lycanroc-midnight,lycanroc-midnight,0745/0002,,1,,,Lycanroc-Midnight (Z),Rock,-,85,115,75,55,75,82,200,263,289,,
,lycanroc-dusk,lycanroc-dusk,746,,10,,,Lycanroc-Dusk (Z),Rock,-,75,117,65,55,65,110,256,319,350,,
,wishiwashi,wishiwashi,0746/0001,,3,,,Wishiwashi (Z),Water,-,45,20,20,25,25,40,116,179,196,,
,wishiwashi-school,wishiwashi-school,747,,0,,,- (Z),Water,-,45,140,130,140,135,30,96,159,174,,
,mareanie,mareanie,748,,1,,,Mareanie (Z),Poison,Water,50,53,62,43,52,45,126,189,207,,
,toxapex,toxapex,749,,13,,,Toxapex (Z),Poison,Water,50,63,152,53,142,35,106,169,185,,
,mudbray,mudbray,750,,1,,,Mudbray (Z),Ground,-,70,100,70,45,55,45,126,189,207,,
,mudsdale,mudsdale,751,,5,,,Mudsdale (Z),Ground,-,100,125,100,55,85,35,106,169,185,,
,dewpider,dewpider,752,,1,,,Dewpider (Z),Water,Bug,38,40,52,40,72,27,90,153,168,,
,araquanid,araquanid,753,,10,,,Araquanid (Z),Water,Bug,68,70,92,50,132,42,120,183,201,,
,fomantis,fomantis,754,,1,,,Fomantis (Z),Grass,-,40,55,35,50,35,35,106,169,185,,
,lurantis,lurantis,755,,3,,,Lurantis (Z),Grass,-,70,105,90,80,90,45,126,189,207,,
,morelull,morelull,756,,1,,,Morelull (Z),Grass,Fairy,40,35,55,65,75,15,66,129,141,,
,shiinotic,shiinotic,757,,1,,,Shiinotic (Z),Grass,Fairy,60,45,80,90,100,30,96,159,174,,
,salandit,salandit,758,,1,,,Salandit (Z),Poison,Fire,48,44,40,71,40,77,190,253,278,,
,salazzle,salazzle,759,,11,,,Salazzle (Z),Poison,Fire,68,64,60,111,60,117,270,333,366,,
,stufful,stufful,760,,1,,,Stufful (Z),Normal,Fighting,70,75,50,45,50,50,136,199,218,,
,bewear,bewear,761,,1,,,Bewear (Z),Normal,Fighting,120,125,80,55,60,60,156,219,240,,
,bounsweet,bounsweet,762,,1,,,Bounsweet (Z),Grass,-,42,30,38,30,38,32,100,163,179,,
,steenee,steenee,763,,1,,,Steenee (Z),Grass,-,52,40,48,40,48,62,160,223,245,,
,tsareena,tsareena,764,,5,,,Tsareena (Z),Grass,-,72,120,98,50,98,72,180,243,267,,
,comfey,comfey,765,,10,,,Comfey (Z),Fairy,-,51,52,90,82,110,100,236,299,328,,
,oranguru,oranguru,766,,1,,,Oranguru (Z),Normal,Psychic,90,60,80,90,110,60,156,219,240,,
,passimian,passimian,767,,3,,,Passimian (Z),Fighting,-,100,120,90,40,60,80,196,259,284,,
,wimpod,wimpod,768,,1,,,Wimpod (Z),Bug,Water,25,35,40,20,30,80,196,259,284,,
,golisopod,golisopod,769,,3,,,Golisopod (Z),Bug,Water,75,125,140,60,90,40,116,179,196,,
,sandygast,sandygast,770,,1,,,Sandygast (Z),Ghost,Ground,55,55,80,70,45,15,66,129,141,,
,palossand,palossand,771,,3,,,Palossand (Z),Ghost,Ground,85,75,110,100,75,35,106,169,185,,
,pyukumuku,pyukumuku,772,,2,,,Pyukumuku (Z),Water,-,55,60,130,30,130,5,46,109,119,,
,type-null,typenull,773,,3,,,Type: Null (Z),Normal,-,95,95,95,95,95,59,154,217,238,,
,silvally,silvally,0773/0006,,13,,,Silvally (Z),Normal,-,95,95,95,95,95,95,226,289,317,,
,silvally-bug,silvally-bug,0773/0016,,0,,,- (Z),Bug,-,95,95,95,95,95,95,226,289,317,,
,silvally-dark,silvally-dark,0773/0015,,0,,,- (Z),Dark,-,95,95,95,95,95,95,226,289,317,,
,silvally-dragon,silvally-dragon,0773/0012,,0,,,- (Z),Dragon,-,95,95,95,95,95,95,226,289,317,,
,silvally-electric,silvally-electric,0773/0017,,0,,,- (Z),Electric,-,95,95,95,95,95,95,226,289,317,,
,silvally-fairy,silvally-fairy,0773/0001,,0,,,- (Z),Fairy,-,95,95,95,95,95,95,226,289,317,,
,silvally-fighting,silvally-fighting,0773/0009,,0,,,- (Z),Fighting,-,95,95,95,95,95,95,226,289,317,,
,silvally-fire,silvally-fire,0773/0008,,0,,,- (Z),Fire,-,95,95,95,95,95,95,226,289,317,,
,silvally-flying,silvally-flying,0773/0007,,0,,,- (Z),Flying,-,95,95,95,95,95,95,226,289,317,,
,silvally-ghost,silvally-ghost,0773/0011,,0,,,- (Z),Ghost,-,95,95,95,95,95,95,226,289,317,,
,silvally-grass,silvally-grass,0773/0004,,0,,,- (Z),Grass,-,95,95,95,95,95,95,226,289,317,,
,silvally-ground,silvally-ground,0773/0010,,0,,,- (Z),Ground,-,95,95,95,95,95,95,226,289,317,,
,silvally-ice,silvally-ice,0773/0003,,0,,,- (Z),Ice,-,95,95,95,95,95,95,226,289,317,,
,silvally-poison,silvally-poison,0773/0013,,0,,,- (Z),Poison,-,95,95,95,95,95,95,226,289,317,,
,silvally-psychic,silvally-psychic,0773/0005,,0,,,- (Z),Psychic,-,95,95,95,95,95,95,226,289,317,,
,silvally-rock,silvally-rock,0773/0014,,0,,,- (Z),Rock,-,95,95,95,95,95,95,226,289,317,,
,silvally-steel,silvally-steel,0773/0002,,0,,,- (Z),Steel,-,95,95,95,95,95,95,226,289,317,,
,silvally-water,silvally-water,0774/0001,,0,,,- (Z),Water,-,95,95,95,95,95,95,226,289,317,,
,minior-red,minior-red,774,,2,,,Minior (Z),Rock,Flying,60,100,60,100,60,120,276,339,372,,
,minior,minior-meteor,775,,0,,,- (Z),Rock,Flying,60,60,100,60,100,60,156,219,240,,
,komala,komala,776,,2,,,Komala (Z),Normal,-,65,115,65,75,95,65,166,229,251,,
,turtonator,turtonator,777,,1,,,Turtonator (Z),Fire,Dragon,60,78,135,91,85,36,108,171,188,,
,togedemaru,togedemaru,778,,2,,,Togedemaru (Z),Electric,Steel,65,98,63,40,73,96,228,291,320,,
,mimikyu,mimikyu,779,,7,,,Mimikyu (Z),Ghost,Fairy,55,90,80,50,105,96,228,291,320,,
,bruxish,bruxish,780,,2,,,Bruxish (Z),Water,Psychic,68,105,70,70,70,92,220,283,311,,
,drampa,drampa,781,,2,,,Drampa (Z),Normal,Dragon,78,60,85,135,91,36,108,171,188,,
,dhelmise,dhelmise,782,,2,,,Dhelmise (Z),Ghost,Grass,70,131,100,86,90,40,116,179,196,,
,jangmo-o,jangmoo,783,,1,,,Jangmo-o (Z),Dragon,-,45,55,65,45,45,45,126,189,207,,
,hakamo-o,hakamoo,784,,1,,,Hakamo-o (Z),Dragon,Fighting,55,75,90,65,70,65,166,229,251,,
